ID_frame,TimeStamp,MAC,AP,RSSI,Vendor
"14913,""2016-03-14 15:47:49"",74:04:2B:60:D8:EA,,6,Unknown"
"14914,""2016-03-14 15:47:49"",EC:1F:72:23:4F:D9,,7,Unknown"
"14915,""2016-03-14 15:47:49"",E0:DB:10:68:DB:7B,,8,Unknown"
"14916,""2016-03-14 15:47:49"",9C:D9:17:5C:35:38,,17,Unknown"
"14917,""2016-03-14 15:47:49"",A0:A8:CD:A7:71:14,,31,""Intel Orate"""
"14918,""2016-03-14 15:49:21"",98:4B:E1:2B:85:F4,eduroam,11,Hewlett-packard"
"14919,""2016-03-14 15:49:21"",2C:41:38:F5:01:91,Swisscom_Auto_Login,11,Hewlett-packard"
"14920,""2016-03-14 15:49:21"",2C:41:38:F5:01:94,eduroam,11,Hewlett-packard"
"14921,""2016-03-14 15:49:21"",2C:41:38:F5:01:90,SIP-WPA2,13,Hewlett-packard"
"14922,""2016-03-14 15:49:21"",2C:44:FD:3C:AD:70,SIP-WPA2,16,""Hewlett Packard"""
"14923,""2016-03-14 15:49:21"",2C:44:FD:3C:AD:73,public,15,""Hewlett Packard"""
"14924,""2016-03-14 15:49:21"",2C:44:FD:3C:AD:72,eth,15,""Hewlett Packard"""
"14925,""2016-03-14 15:49:21"",2C:44:FD:3C:AD:71,Swisscom_Auto_Login,15,""Hewlett Packard"""
"14926,""2016-03-14 15:49:21"",2C:44:FD:3C:AD:74,eduroam,14,""Hewlett Packard"""
"14927,""2016-03-14 15:49:21"",98:4B:E1:2B:85:F1,Swisscom_Auto_Login,8,Hewlett-packard"
"14928,""2016-03-14 15:49:21"",98:4B:E1:2B:85:F3,public,11,Hewlett-packard"
"14929,""2016-03-14 15:49:21"",2C:41:38:F5:01:93,public,10,Hewlett-packard"
"14930,""2016-03-14 15:49:21"",98:4B:E1:2B:85:F2,eth,8,Hewlett-packard"
"14931,""2016-03-14 15:49:21"",98:4B:E1:2B:85:F0,SIP-WPA2,8,Hewlett-packard"
"14932,""2016-03-14 15:49:21"",2C:41:38:F5:01:92,eth,15,Hewlett-packard"
"14933,""2016-03-14 15:49:21"",60:02:B4:A7:B2:D9,meshlium,57,""Wistron Neweb"""
"14934,""2016-03-14 15:49:21"",D0:33:11:79:B9:22,,6,Unknown"
"14935,""2016-03-14 15:49:21"",00:90:A9:67:5D:93,,6,""Western Digital"""
"14936,""2016-03-14 15:49:21"",9C:D9:17:5C:35:38,,18,Unknown"
"14937,""2016-03-14 15:49:21"",A0:A8:CD:A7:71:14,,39,""Intel Orate"""
"14938,""2016-03-14 15:50:53"",2C:44:FD:3C:AD:71,Swisscom_Auto_Login,14,""Hewlett Packard"""
"14939,""2016-03-14 15:50:53"",2C:44:FD:3C:AD:72,eth,13,""Hewlett Packard"""
"14940,""2016-03-14 15:50:53"",2C:44:FD:3C:AD:70,SIP-WPA2,12,""Hewlett Packard"""
"14941,""2016-03-14 15:50:53"",2C:44:FD:3C:AD:73,public,11,""Hewlett Packard"""
"14942,""2016-03-14 15:50:53"",2C:44:FD:3C:AD:74,eduroam,10,""Hewlett Packard"""
"14943,""2016-03-14 15:50:53"",98:4B:E1:2B:85:F3,public,7,Hewlett-packard"
"14944,""2016-03-14 15:50:53"",2C:41:38:F5:01:92,eth,8,Hewlett-packard"
"14945,""2016-03-14 15:50:53"",2C:41:38:F5:01:90,SIP-WPA2,8,Hewlett-packard"
"14946,""2016-03-14 15:50:53"",2C:41:38:F5:01:93,public,9,Hewlett-packard"
"14947,""2016-03-14 15:50:53"",A0:48:1C:35:07:50,SIP-WPA2,8,Unknown"
"14948,""2016-03-14 15:50:53"",A0:48:1C:35:07:52,eth,8,Unknown"
"14949,""2016-03-14 15:50:53"",A0:48:1C:35:07:53,public,11,Unknown"
"14950,""2016-03-14 15:50:53"",A0:48:1C:35:07:54,eduroam,11,Unknown"
"14951,""2016-03-14 15:50:53"",60:02:B4:A7:B2:D9,meshlium,48,""Wistron Neweb"""
"14952,""2016-03-14 15:50:53"",9C:D9:17:5C:35:38,,24,Unknown"
"14953,""2016-03-14 15:52:25"",2C:44:FD:51:D1:B2,eth,4,""Hewlett Packard"""
"14954,""2016-03-14 15:52:25"",A0:48:1C:35:0F:31,Swisscom_Auto_Login,6,Unknown"
"14955,""2016-03-14 15:52:25"",A0:48:1C:35:0F:32,,6,Unknown"
"14956,""2016-03-14 15:52:25"",2C:44:FD:51:D1:B3,public,6,""Hewlett Packard"""
"14957,""2016-03-14 15:52:25"",2C:44:FD:3C:AD:31,Swisscom_Auto_Login,12,""Hewlett Packard"""
"14958,""2016-03-14 15:52:25"",2C:44:FD:3C:AD:32,eth,9,""Hewlett Packard"""
"14959,""2016-03-14 15:52:25"",78:BA:F9:CB:24:A4,Swisscom_Auto_Login,13,Unknown"
"14960,""2016-03-14 15:52:25"",78:BA:F9:CB:24:A0,zephyros,13,Unknown"
"14961,""2016-03-14 15:52:25"",78:BA:F9:CB:24:A5,""Coop free"",10,Unknown"
"14962,""2016-03-14 15:52:25"",78:BA:F9:CB:24:A3,Swisscom,7,Unknown"
"14963,""2016-03-14 15:52:25"",2C:44:FD:3C:AD:34,eduroam,10,""Hewlett Packard"""
"14964,""2016-03-14 15:52:25"",78:BA:F9:CB:24:A1,stocktaking,11,Unknown"
"14965,""2016-03-14 15:52:25"",2C:44:FD:3C:AD:33,public,13,""Hewlett Packard"""
"14966,""2016-03-14 15:52:25"",2C:44:FD:51:D1:B4,eduroam,11,""Hewlett Packard"""
"14967,""2016-03-14 15:52:25"",2C:44:FD:51:D1:B2,eth,4,""Hewlett Packard"""
"14968,""2016-03-14 15:52:25"",A0:48:1C:35:0F:31,Swisscom_Auto_Login,6,Unknown"
"14969,""2016-03-14 15:52:26"",A0:48:1C:35:0F:32,,6,Unknown"
"14970,""2016-03-14 15:52:26"",2C:44:FD:51:D1:B3,public,6,""Hewlett Packard"""
"14971,""2016-03-14 15:52:26"",2C:44:FD:3C:AD:31,Swisscom_Auto_Login,12,""Hewlett Packard"""
"14972,""2016-03-14 15:52:26"",2C:44:FD:3C:AD:32,eth,9,""Hewlett Packard"""
"14973,""2016-03-14 15:52:26"",78:BA:F9:CB:24:A4,Swisscom_Auto_Login,13,Unknown"
"14974,""2016-03-14 15:52:26"",78:BA:F9:CB:24:A0,zephyros,13,Unknown"
"14975,""2016-03-14 15:52:26"",78:BA:F9:CB:24:A5,""Coop free"",10,Unknown"
"14976,""2016-03-14 15:52:26"",78:BA:F9:CB:24:A3,Swisscom,7,Unknown"
"14977,""2016-03-14 15:52:26"",2C:44:FD:3C:AD:34,eduroam,10,""Hewlett Packard"""
"14978,""2016-03-14 15:52:26"",78:BA:F9:CB:24:A1,stocktaking,11,Unknown"
"14979,""2016-03-14 15:52:26"",2C:44:FD:3C:AD:33,public,13,""Hewlett Packard"""
"14980,""2016-03-14 15:52:26"",2C:44:FD:51:D1:B4,eduroam,11,""Hewlett Packard"""
"14981,""2016-03-14 15:52:26"",2C:44:FD:51:D1:B2,eth,4,""Hewlett Packard"""
"14982,""2016-03-14 15:52:26"",A0:48:1C:35:0F:31,Swisscom_Auto_Login,6,Unknown"
"14983,""2016-03-14 15:52:26"",A0:48:1C:35:0F:32,,6,Unknown"
"14984,""2016-03-14 15:52:26"",2C:44:FD:51:D1:B3,public,6,""Hewlett Packard"""
"14985,""2016-03-14 15:52:26"",2C:44:FD:3C:AD:31,Swisscom_Auto_Login,12,""Hewlett Packard"""
"14986,""2016-03-14 15:52:26"",2C:44:FD:3C:AD:32,eth,9,""Hewlett Packard"""
"14987,""2016-03-14 15:52:26"",78:BA:F9:CB:24:A4,Swisscom_Auto_Login,13,Unknown"
"14988,""2016-03-14 15:52:26"",78:BA:F9:CB:24:A0,zephyros,13,Unknown"
"14989,""2016-03-14 15:52:26"",78:BA:F9:CB:24:A5,""Coop free"",10,Unknown"
"14990,""2016-03-14 15:52:26"",78:BA:F9:CB:24:A3,Swisscom,7,Unknown"
"14991,""2016-03-14 15:52:26"",2C:44:FD:3C:AD:34,eduroam,10,""Hewlett Packard"""
"14992,""2016-03-14 15:52:26"",78:BA:F9:CB:24:A1,stocktaking,11,Unknown"
"14993,""2016-03-14 15:52:26"",2C:44:FD:3C:AD:33,public,13,""Hewlett Packard"""
"14994,""2016-03-14 15:52:26"",2C:44:FD:51:D1:B4,eduroam,11,""Hewlett Packard"""
"14995,""2016-03-14 15:52:27"",2C:44:FD:51:D1:B2,eth,4,""Hewlett Packard"""
"14996,""2016-03-14 15:52:27"",A0:48:1C:35:0F:31,Swisscom_Auto_Login,6,Unknown"
"14997,""2016-03-14 15:52:27"",A0:48:1C:35:0F:32,,6,Unknown"
"14998,""2016-03-14 15:52:27"",2C:44:FD:51:D1:B3,public,6,""Hewlett Packard"""
"14999,""2016-03-14 15:52:27"",2C:44:FD:3C:AD:31,Swisscom_Auto_Login,12,""Hewlett Packard"""
"15000,""2016-03-14 15:52:27"",2C:44:FD:3C:AD:32,eth,9,""Hewlett Packard"""
"15001,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A4,Swisscom_Auto_Login,13,Unknown"
"15002,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A0,zephyros,13,Unknown"
"15003,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A5,""Coop free"",10,Unknown"
"15004,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A3,Swisscom,7,Unknown"
"15005,""2016-03-14 15:52:27"",2C:44:FD:3C:AD:34,eduroam,10,""Hewlett Packard"""
"15006,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A1,stocktaking,11,Unknown"
"15007,""2016-03-14 15:52:27"",2C:44:FD:3C:AD:33,public,13,""Hewlett Packard"""
"15008,""2016-03-14 15:52:27"",2C:44:FD:51:D1:B4,eduroam,11,""Hewlett Packard"""
"15009,""2016-03-14 15:52:27"",2C:44:FD:51:D1:B2,eth,4,""Hewlett Packard"""
"15010,""2016-03-14 15:52:27"",A0:48:1C:35:0F:31,Swisscom_Auto_Login,6,Unknown"
"15011,""2016-03-14 15:52:27"",A0:48:1C:35:0F:32,,6,Unknown"
"15012,""2016-03-14 15:52:27"",2C:44:FD:51:D1:B3,public,6,""Hewlett Packard"""
"15013,""2016-03-14 15:52:27"",2C:44:FD:3C:AD:31,Swisscom_Auto_Login,12,""Hewlett Packard"""
"15014,""2016-03-14 15:52:27"",2C:44:FD:3C:AD:32,eth,9,""Hewlett Packard"""
"15015,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A4,Swisscom_Auto_Login,13,Unknown"
"15016,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A0,zephyros,13,Unknown"
"15017,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A5,""Coop free"",10,Unknown"
"15018,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A3,Swisscom,7,Unknown"
"15019,""2016-03-14 15:52:27"",2C:44:FD:3C:AD:34,eduroam,10,""Hewlett Packard"""
"15020,""2016-03-14 15:52:27"",78:BA:F9:CB:24:A1,stocktaking,11,Unknown"
"15021,""2016-03-14 15:52:27"",2C:44:FD:3C:AD:33,public,13,""Hewlett Packard"""
"15022,""2016-03-14 15:52:27"",2C:44:FD:51:D1:B4,eduroam,11,""Hewlett Packard"""
"15023,""2016-03-14 15:52:27"",2C:44:FD:51:D1:B2,eth,4,""Hewlett Packard"""
"15024,""2016-03-14 15:52:27"",A0:48:1C:35:0F:31,Swisscom_Auto_Login,6,Unknown"
"15025,""2016-03-14 15:52:27"",A0:48:1C:35:0F:32,,6,Unknown"
