
2016_03_14_15_36_37_986,$Sound pressure: 53.1250000000 dB,Luminosity: 97.9472122192 ,Dust: 0.0283870964 mg/m,
2016_03_14_15_36_40_623,$Sound pressure: 51.8750000000 dB,Luminosity: 97.9472122192 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_36_43_275,$Sound pressure: 52.5000000000 dB,Luminosity: 98.0449676513 ,Dust: 0.0277419352 mg/m,
2016_03_14_15_36_45_927,$Sound pressure: 51.8750000000 dB,Luminosity: 97.9472122192 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_36_48_579,$Sound pressure: 51.8750000000 dB,Luminosity: 97.9472122192 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_36_51_215,$Sound pressure: 51.8750000000 dB,Luminosity: 97.9472122192 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_36_53_867,$Sound pressure: 51.8750000000 dB,Luminosity: 97.7517089843 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_36_56_535,$Sound pressure: 50.6250000000 dB,Luminosity: 97.8494644165 ,Dust: 0.0290322570 mg/m,
2016_03_14_15_36_59_187,$Sound pressure: 51.2500000000 dB,Luminosity: 97.8494644165 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_37_01_823,$Sound pressure: 51.2500000000 dB,Luminosity: 97.8494644165 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_37_04_475,$Sound pressure: 51.2500000000 dB,Luminosity: 97.7517089843 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_37_07_143,$Sound pressure: 51.2500000000 dB,Luminosity: 97.5562057495 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_37_09_779,$Sound pressure: 51.8750000000 dB,Luminosity: 97.6539611816 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_37_12_416,$Sound pressure: 55.2631568908 dB,Luminosity: 97.6539611816 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_37_15_068,$Sound pressure: 53.7500000000 dB,Luminosity: 97.4584579467 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_37_17_735,$Sound pressure: 52.5000000000 dB,Luminosity: 97.3607025146 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_37_20_387,$Sound pressure: 51.8750000000 dB,Luminosity: 97.0674514770 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_37_23_024,$Sound pressure: 51.8750000000 dB,Luminosity: 93.0596313476 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_37_25_676,$Sound pressure: 54.3750000000 dB,Luminosity: 51.9061584472 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_37_28_328,$Sound pressure: 53.1250000000 dB,Luminosity: 95.5034179687 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_37_30_980,$Sound pressure: 51.8750000000 dB,Luminosity: 91.2023468017 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_37_33_616,$Sound pressure: 54.3750000000 dB,Luminosity: 99.6089935302 ,Dust: 0.0322580623 mg/m,
2016_03_14_15_37_36_268,$Sound pressure: 52.5000000000 dB,Luminosity: 99.8044967651 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_37_38_936,$Sound pressure: 55.0000000000 dB,Luminosity: 99.8044967651 ,Dust: 0.0341935491 mg/m,
2016_03_14_15_37_41_572,$Sound pressure: 52.5000000000 dB,Luminosity: 92.6686248779 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_37_44_240,$Sound pressure: 54.3750000000 dB,Luminosity: 99.0224838256 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_37_46_876,$Sound pressure: 52.5000000000 dB,Luminosity: 94.6236572265 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_37_49_528,$Sound pressure: 55.0000000000 dB,Luminosity: 92.5708694458 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_37_52_180,$Sound pressure: 51.8750000000 dB,Luminosity: 57.8690109252 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_37_54_832,$Sound pressure: 53.1250000000 dB,Luminosity: 98.7292251586 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_37_57_469,$Sound pressure: 53.1250000000 dB,Luminosity: 96.1876831054 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_38_00_136,$Sound pressure: 50.6250000000 dB,Luminosity: 99.3157348632 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_38_02_773,$Sound pressure: 53.1250000000 dB,Luminosity: 94.5259017944 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_38_05_440,$Sound pressure: 53.1250000000 dB,Luminosity: 94.2326507568 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_38_08_077,$Sound pressure: 52.5000000000 dB,Luminosity: 93.9393920898 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_38_10_729,$Sound pressure: 53.7500000000 dB,Luminosity: 92.2776184082 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_38_13_381,$Sound pressure: 52.5000000000 dB,Luminosity: 91.8866043090 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_38_16_033,$Sound pressure: 52.5000000000 dB,Luminosity: 90.7135848999 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_38_18_669,$Sound pressure: 53.1250000000 dB,Luminosity: 98.4359741210 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_38_21_337,$Sound pressure: 51.8750000000 dB,Luminosity: 98.2404708862 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_38_23_973,$Sound pressure: 53.1250000000 dB,Luminosity: 98.0449676513 ,Dust: 0.0283870964 mg/m,
2016_03_14_15_38_26_641,$Sound pressure: 51.8750000000 dB,Luminosity: 97.7517089843 ,Dust: 0.0316129016 mg/m,
2016_03_14_15_38_29_277,$Sound pressure: 53.7500000000 dB,Luminosity: 96.5786895751 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_38_31_929,$Sound pressure: 54.3750000000 dB,Luminosity: 95.4056701660 ,Dust: 0.0296774177 mg/m,
2016_03_14_15_38_34_581,$Sound pressure: 53.1250000000 dB,Luminosity: 94.6236572265 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_38_37_233,$Sound pressure: 52.5000000000 dB,Luminosity: 94.4281539916 ,Dust: 0.0303225803 mg/m,
2016_03_14_15_38_39_869,$Sound pressure: 52.5000000000 dB,Luminosity: 96.8719482421 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_38_42_537,$Sound pressure: 53.1250000000 dB,Luminosity: 94.4281539916 ,Dust: 0.0322580623 mg/m,
2016_03_14_15_38_45_173,$Sound pressure: 52.5000000000 dB,Luminosity: 91.5933532714 ,Dust: 0.0290322570 mg/m,
2016_03_14_15_38_47_841,$Sound pressure: 50.6250000000 dB,Luminosity: 94.3303985595 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_38_50_477,$Sound pressure: 50.6250000000 dB,Luminosity: 92.0821151733 ,Dust: 0.0322580623 mg/m,
2016_03_14_15_38_53_129,$Sound pressure: 56.8421058654 dB,Luminosity: 59.1397857666 ,Dust: 0.0309677410 mg/m,
2016_03_14_15_38_55_781,$Sound pressure: 51.8750000000 dB,Luminosity: 90.0293273925 ,Dust: 0.0309677410 mg/m,
