-39,0,50
-35,-1,51
-37,-1,51
-37,-1,50
-36,-1,51
-37,-1,50
-38,-1,50
-37,-1,50
-37,-1,50
-37,-1,50
-37,-1,50
-37,-1,50
-37,-1,50
-37,-1,50
-37,-1,50
-37,-1,50
-36,-1,51
-37,-1,51
-37,-1,50
-37,-1,50
-36,-1,50
-37,-1,50
-37,-1,50
-37,-1,50
-37,-1,51
-37,-1,50
-37,-1,51
-37,-1,51
-37,-1,50
-37,-1,51
-36,-1,51
-37,-1,50
-36,-1,50
-37,-1,50
-37,-1,50
-36,-1,51
-37,-1,50
-37,-1,50
-37,-1,50
-37,-1,50
-37,-1,51
-36,-1,51
-37,-1,51
-36,-1,50
-37,-1,50
-36,-1,51
-36,-1,50
-37,-1,51
-36,-1,51
-37,-1,51
-37,-1,50
-36,-1,50
-36,-1,51
-36,-1,50
-37,-1,50
-36,-1,51
-36,-1,51
-37,-1,50
-36,-1,50
-36,-1,51
-36,-1,51
-36,-1,50
-36,-1,51
-37,-1,51
-36,-1,50
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-35,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-35,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-36,-1,51
-35,-1,51
-35,-1,51
-35,-1,51
-35,-1,51
-36,-1,51
-36,-1,51
-37,-1,51
-37,-1,50
-34,-1,51
-34,-1,51
-35,-1,52
-35,-1,52
-35,-1,51
-35,-1,51
-35,-1,51
-37,-1,51
-36,-1,51
-36,-1,50
-36,-1,50
-36,-1,50
-39,-3,49
-34,0,51
-33,0,53
-31,2,55
-31,1,55
-31,2,55
-28,1,56
-30,3,55
-31,3,54
-29,3,55
-29,3,56
-29,3,55
-30,3,55
-30,3,55
-29,3,55
-29,3,55
-29,3,55
