
2016_04_08_12_56_47_642,$Sound pressure: 60.6410255432 dB,Luminosity: 99.3157348632 ,Dust: 0.0406451606 mg/m,
2016_04_08_12_56_50_294,$Sound pressure: 61.0256423950 dB,Luminosity: 99.3157348632 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_56_52_946,$Sound pressure: 64.1025619506 dB,Luminosity: 99.2179870605 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_56_55_582,$Sound pressure: 62.0512809753 dB,Luminosity: 92.9618759155 ,Dust: 0.0729032278 mg/m,
2016_04_08_12_56_58_234,$Sound pressure: 62.1794891357 dB,Luminosity: 96.9696960449 ,Dust: 0.2703225851 mg/m,
2016_04_08_12_57_00_886,$Sound pressure: 62.4358978271 dB,Luminosity: 99.4134902954 ,Dust: 0.0451612901 mg/m,
2016_04_08_12_57_03_554,$Sound pressure: 63.0769233703 dB,Luminosity: 99.2179870605 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_57_06_175,$Sound pressure: 60.5128211975 dB,Luminosity: 99.5112380981 ,Dust: 0.0445161294 mg/m,
2016_04_08_12_57_08_842,$Sound pressure: 60.8974342346 dB,Luminosity: 98.5337219238 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_57_11_494,$Sound pressure: 60.7692298889 dB,Luminosity: 99.9022445678 ,Dust: 0.0374193549 mg/m,
2016_04_08_12_57_14_146,$Sound pressure: 61.4102554321 dB,Luminosity: 99.9022445678 ,Dust: 0.0361290335 mg/m,
2016_04_08_12_57_16_783,$Sound pressure: 62.4358978271 dB,Luminosity: 99.5112380981 ,Dust: 0.0419354820 mg/m,
2016_04_08_12_57_19_435,$Sound pressure: 64.6153869628 dB,Luminosity: 92.2776184082 ,Dust: 0.0574193525 mg/m,
2016_04_08_12_57_22_087,$Sound pressure: 64.6153869628 dB,Luminosity: 97.8494644165 ,Dust: 0.0529032230 mg/m,
2016_04_08_12_57_24_754,$Sound pressure: 62.5641021728 dB,Luminosity: 99.9022445678 ,Dust: 0.1387096767 mg/m,
2016_04_08_12_57_27_391,$Sound pressure: 67.8571395874 dB,Luminosity: 99.8044967651 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_57_30_043,$Sound pressure: 60.6410255432 dB,Luminosity: 98.6314773559 ,Dust: 0.2993548393 mg/m,
2016_04_08_12_57_32_695,$Sound pressure: 61.2820510864 dB,Luminosity: 99.0224838256 ,Dust: 0.0851612949 mg/m,
2016_04_08_12_57_35_347,$Sound pressure: 58.9473686218 dB,Luminosity: 98.5337219238 ,Dust: 0.0574193525 mg/m,
2016_04_08_12_57_37_983,$Sound pressure: 60.5128211975 dB,Luminosity: 99.7067413330 ,Dust: 0.3909677505 mg/m,
2016_04_08_12_57_40_635,$Sound pressure: 60.0000000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0554838705 mg/m,
2016_04_08_12_57_43_287,$Sound pressure: 60.0000000000 dB,Luminosity: 99.9022445678 ,Dust: 0.0425806474 mg/m,
2016_04_08_12_57_45_939,$Sound pressure: 60.5128211975 dB,Luminosity: 99.9022445678 ,Dust: 0.0406451606 mg/m,
2016_04_08_12_57_48_591,$Sound pressure: 61.7948722839 dB,Luminosity: 99.9022445678 ,Dust: 0.0361290335 mg/m,
2016_04_08_12_57_51_243,$Sound pressure: 60.3846168518 dB,Luminosity: 99.9022445678 ,Dust: 0.0419354820 mg/m,
2016_04_08_12_57_53_895,$Sound pressure: 60.1282043457 dB,Luminosity: 99.9022445678 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_57_56_532,$Sound pressure: 62.0512809753 dB,Luminosity: 99.9022445678 ,Dust: 0.0619354820 mg/m,
2016_04_08_12_57_59_184,$Sound pressure: 61.4102554321 dB,Luminosity: 99.9022445678 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_58_01_851,$Sound pressure: 60.8974342346 dB,Luminosity: 99.9022445678 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_58_04_488,$Sound pressure: 61.1538467407 dB,Luminosity: 99.9022445678 ,Dust: 0.0367741942 mg/m,
2016_04_08_12_58_07_140,$Sound pressure: 60.6410255432 dB,Luminosity: 99.9022445678 ,Dust: 0.0438709688 mg/m,
2016_04_08_12_58_09_792,$Sound pressure: 60.3846168518 dB,Luminosity: 99.9022445678 ,Dust: 0.0419354820 mg/m,
2016_04_08_12_58_12_444,$Sound pressure: 60.8974342346 dB,Luminosity: 99.9022445678 ,Dust: 0.0412903213 mg/m,
2016_04_08_12_58_15_096,$Sound pressure: 62.9487190246 dB,Luminosity: 99.9022445678 ,Dust: 0.0483870935 mg/m,
2016_04_08_12_58_17_732,$Sound pressure: 62.9487190246 dB,Luminosity: 99.9022445678 ,Dust: 0.0361290335 mg/m,
2016_04_08_12_58_20_384,$Sound pressure: 61.6666679382 dB,Luminosity: 99.9022445678 ,Dust: 0.0438709688 mg/m,
2016_04_08_12_58_23_052,$Sound pressure: 61.6666679382 dB,Luminosity: 99.9022445678 ,Dust: 0.0503225803 mg/m,
2016_04_08_12_58_25_688,$Sound pressure: 61.4102554321 dB,Luminosity: 99.9022445678 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_58_28_340,$Sound pressure: 60.3846168518 dB,Luminosity: 99.9022445678 ,Dust: 0.0561290311 mg/m,
2016_04_08_12_58_30_992,$Sound pressure: 61.7948722839 dB,Luminosity: 99.9022445678 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_58_33_644,$Sound pressure: 62.5641021728 dB,Luminosity: 100.0000000000 ,Dust: 0.0367741942 mg/m,
2016_04_08_12_58_36_296,$Sound pressure: 61.1538467407 dB,Luminosity: 99.9022445678 ,Dust: 0.0529032230 mg/m,
2016_04_08_12_58_38_932,$Sound pressure: 62.0512809753 dB,Luminosity: 99.9022445678 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_58_41_584,$Sound pressure: 63.0769233703 dB,Luminosity: 99.9022445678 ,Dust: 0.0406451606 mg/m,
2016_04_08_12_58_44_252,$Sound pressure: 61.7948722839 dB,Luminosity: 100.0000000000 ,Dust: 0.0374193549 mg/m,
2016_04_08_12_58_46_904,$Sound pressure: 63.3333320617 dB,Luminosity: 99.9022445678 ,Dust: 0.0522580623 mg/m,
2016_04_08_12_58_49_540,$Sound pressure: 62.6923065185 dB,Luminosity: 99.9022445678 ,Dust: 0.0412903213 mg/m,
2016_04_08_12_58_52_192,$Sound pressure: 59.7368431091 dB,Luminosity: 99.9022445678 ,Dust: 0.0619354820 mg/m,
2016_04_08_12_58_54_844,$Sound pressure: 61.7948722839 dB,Luminosity: 99.9022445678 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_58_57_481,$Sound pressure: 63.0769233703 dB,Luminosity: 99.9022445678 ,Dust: 0.0380645160 mg/m,
2016_04_08_12_59_00_148,$Sound pressure: 60.5128211975 dB,Luminosity: 99.9022445678 ,Dust: 0.0419354820 mg/m,
2016_04_08_12_59_02_785,$Sound pressure: 62.5641021728 dB,Luminosity: 99.9022445678 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_59_05_452,$Sound pressure: 61.5384597778 dB,Luminosity: 99.9022445678 ,Dust: 0.0612903213 mg/m,
2016_04_08_12_59_08_089,$Sound pressure: 62.6923065185 dB,Luminosity: 99.9022445678 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_59_10_741,$Sound pressure: 63.3333320617 dB,Luminosity: 99.9022445678 ,Dust: 0.0399999980 mg/m,
2016_04_08_12_59_13_393,$Sound pressure: 62.8205108642 dB,Luminosity: 99.9022445678 ,Dust: 0.0451612901 mg/m,
2016_04_08_12_59_16_045,$Sound pressure: 61.4102554321 dB,Luminosity: 99.9022445678 ,Dust: 0.0419354820 mg/m,
2016_04_08_12_59_18_681,$Sound pressure: 63.7179489135 dB,Luminosity: 99.8044967651 ,Dust: 0.0451612901 mg/m,
2016_04_08_12_59_21_349,$Sound pressure: 62.0512809753 dB,Luminosity: 99.9022445678 ,Dust: 0.0425806474 mg/m,
2016_04_08_12_59_23_985,$Sound pressure: 61.7948722839 dB,Luminosity: 99.9022445678 ,Dust: 0.0419354820 mg/m,
2016_04_08_12_59_26_653,$Sound pressure: 60.2564086914 dB,Luminosity: 99.9022445678 ,Dust: 0.0387096767 mg/m,
2016_04_08_12_59_29_289,$Sound pressure: 60.7692298889 dB,Luminosity: 99.8044967651 ,Dust: 0.0412903213 mg/m,
2016_04_08_12_59_31_941,$Sound pressure: 61.7948722839 dB,Luminosity: 100.0000000000 ,Dust: 0.0393548374 mg/m,
2016_04_08_12_59_34_593,$Sound pressure: 60.1282043457 dB,Luminosity: 99.9022445678 ,Dust: 0.0412903213 mg/m,
